timestamp,sensor_raw,wear,wear_pct,bad_blocks,ecc_count,temperature,status,rul
1774498370.1702394,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498376.6445045,103,0.0252,2.5,12.5,113.0,40.3,HEALTHY,Normal
1774498379.6733265,184,0.0449,4.5,14.5,122.0,40.4,HEALTHY,Normal
1774498381.6200202,223,0.0545,5.4,15.4,127.0,40.5,HEALTHY,Normal
1774498383.3151946,213,0.052,5.2,15.2,126.0,40.5,HEALTHY,Normal
1774498384.3754013,159,0.0388,3.9,13.9,119.0,40.4,HEALTHY,Normal
1774498385.1800854,76,0.0186,1.9,11.9,109.0,40.2,HEALTHY,Normal
1774498386.3949523,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498387.1664023,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498387.9570205,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498388.780712,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498389.7263215,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498390.628243,41,0.01,1.0,11.0,105.0,40.1,HEALTHY,Normal
1774498391.4474742,147,0.0359,3.6,13.6,118.0,40.4,HEALTHY,Normal
1774498392.2774727,243,0.0593,5.9,15.9,130.0,40.6,HEALTHY,Normal
1774498393.485768,307,0.075,7.5,17.5,137.0,40.7,HEALTHY,Normal
1774498394.455494,325,0.0794,7.9,17.9,140.0,40.8,HEALTHY,Normal
1774498395.5275567,295,0.072,7.2,17.2,136.0,40.7,HEALTHY,Normal
1774498396.953599,226,0.0552,5.5,15.5,128.0,40.6,HEALTHY,Normal
1774498398.3852658,137,0.0335,3.3,13.3,117.0,40.3,HEALTHY,Normal
1774498399.4572232,52,0.0127,1.3,11.3,106.0,40.1,HEALTHY,Normal
1774498401.4095533,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498402.5138526,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498403.4968884,9,0.0022,0.2,10.2,101.0,40.0,HEALTHY,Normal
1774498404.448571,85,0.0208,2.1,12.1,110.0,40.2,HEALTHY,Normal
1774498405.1711724,187,0.0457,4.6,14.6,123.0,40.5,HEALTHY,Normal
1774498405.9387584,292,0.0713,7.1,17.1,136.0,40.7,HEALTHY,Normal
1774498406.7075431,376,0.0918,9.2,19.2,146.0,40.9,HEALTHY,Normal
1774498407.4221847,422,0.1031,10.3,20.3,152.0,41.0,HEALTHY,Normal
1774498408.1473687,418,0.1021,10.2,20.2,151.0,41.0,HEALTHY,Normal
1774498408.7877948,370,0.0904,9.0,19.0,145.0,40.9,HEALTHY,Normal
1774498409.5871751,289,0.0706,7.1,17.1,135.0,40.7,HEALTHY,Normal
1774498410.4238513,199,0.0486,4.9,14.9,124.0,40.5,HEALTHY,Normal
1774498411.1807172,122,0.0298,3.0,13.0,115.0,40.3,HEALTHY,Normal
1774498411.9260535,80,0.0195,2.0,12.0,110.0,40.2,HEALTHY,Normal
1774498412.8880854,85,0.0208,2.1,12.1,110.0,40.2,HEALTHY,Normal
1774498414.5085304,138,0.0337,3.4,13.4,117.0,40.3,HEALTHY,Normal
1774498416.455763,228,0.0557,5.6,15.6,128.0,40.6,HEALTHY,Normal
1774498417.6054323,333,0.0813,8.1,18.1,141.0,40.8,HEALTHY,Normal
1774498418.3948395,433,0.1057,10.6,20.6,153.0,41.1,HEALTHY,Normal
1774498419.3638597,502,0.1226,12.3,22.3,161.0,41.2,HEALTHY,Normal
1774498420.3039985,527,0.1287,12.9,22.9,164.0,41.3,HEALTHY,Normal
1774498421.321084,503,0.1228,12.3,22.3,161.0,41.2,HEALTHY,Normal
1774498422.4551055,438,0.107,10.7,20.7,153.0,41.1,HEALTHY,Normal
1774498423.5629685,351,0.0857,8.6,18.6,143.0,40.9,HEALTHY,Normal
1774498424.725818,263,0.0642,6.4,16.4,132.0,40.6,HEALTHY,Normal
1774498426.0936227,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498427.0460076,103,0.0252,2.5,12.5,113.0,40.3,HEALTHY,Normal
1774498428.3022382,184,0.0449,4.5,14.5,122.0,40.4,HEALTHY,Normal
1774498430.1727002,223,0.0545,5.4,15.4,127.0,40.5,HEALTHY,Normal
1774498431.7290719,213,0.052,5.2,15.2,126.0,40.5,HEALTHY,Normal
1774498432.7832203,159,0.0388,3.9,13.9,119.0,40.4,HEALTHY,Normal
1774498433.824298,76,0.0186,1.9,11.9,109.0,40.2,HEALTHY,Normal
1774498434.621954,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498435.3621237,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498436.342808,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498437.3688836,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498438.5282214,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498439.714849,41,0.01,1.0,11.0,105.0,40.1,HEALTHY,Normal
1774498440.5588202,147,0.0359,3.6,13.6,118.0,40.4,HEALTHY,Normal
1774498441.6722927,243,0.0593,5.9,15.9,130.0,40.6,HEALTHY,Normal
1774498442.618268,307,0.075,7.5,17.5,137.0,40.7,HEALTHY,Normal
1774498443.7146916,325,0.0794,7.9,17.9,140.0,40.8,HEALTHY,Normal
1774498444.6124449,295,0.072,7.2,17.2,136.0,40.7,HEALTHY,Normal
1774498445.7351346,226,0.0552,5.5,15.5,128.0,40.6,HEALTHY,Normal
1774498446.5203962,137,0.0335,3.3,13.3,117.0,40.3,HEALTHY,Normal
1774498447.2787874,52,0.0127,1.3,11.3,106.0,40.1,HEALTHY,Normal
1774498448.1462445,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
1774498449.236764,0,0.0,0.0,10.0,100.0,40.0,HEALTHY,Normal
